,equal_weight,multifactor_topk,sepa_stock_magician_topk,vcp_topk,fixed_multistrategy_fusion,llm_strategy_agent_mock
2018-07-31,0.989632785092008,0.9861925838866816,0.9900786139154871,0.9735686245155512,0.9861925838866816,0.9754745567098013
2018-08-31,1.0334634043815554,1.0241736378548447,1.0364537413674635,1.0141620452695264,1.0241736378548447,1.0154368585489966
2018-09-28,0.9766171626069585,0.9630979881062889,0.9854812749952726,0.9596659425650879,0.9630979881062889,0.9500198067372002
2018-10-31,0.9495332727401898,0.9303188759139035,0.9521873312711906,0.9195859411604372,0.9303188759139035,0.91754330845668
2018-11-30,0.8855815529540539,0.8579977600977928,0.888445563563468,0.8555274313054975,0.8579977600977928,0.8481286304890631
2018-12-31,0.8558265728830556,0.8269980637074875,0.8508334407102927,0.8275629373239098,0.8269980637074875,0.8258893262708693
2019-01-31,0.9296381528530315,0.8806417128328908,0.9280985587755188,0.8752885461458358,0.8806417128328908,0.8772498389236459
2019-02-28,0.8976958660103335,0.8342473681481032,0.8898180776800674,0.8287025709404482,0.8342473681481032,0.83003878598221
2019-03-29,0.9540902673118508,0.8926768467375484,0.9454653576345543,0.8821701203702714,0.8859138298085141,0.8815691082880901
2019-04-30,0.907599730775495,0.8612073310822286,0.89700283785166,0.8326129056375485,0.8545498435537365,0.8482784188858306
2019-05-31,0.8917396702494634,0.8350926703768892,0.8829221158711253,0.8127354657317566,0.8286370599361573,0.8218876993855487
2019-06-28,0.9068629257134161,0.847244992314625,0.8889827467667496,0.8243400386009844,0.840695439417968,0.8327382600539813
2019-07-31,0.9521145461643643,0.896588635787498,0.9434435166236361,0.8729712612191957,0.8896576361948192,0.8805769359976693
2019-08-30,0.9328929065396394,0.8789106617994581,0.9330724711573773,0.8589445027492498,0.8721163202298902,0.8624834984094992
2019-09-30,0.9059302166621006,0.8487666155391845,0.9172989863325913,0.8353653333461128,0.8422052998680188,0.8379654780122056
2019-10-31,0.8999458177765131,0.8389119300136216,0.909555948294322,0.8322796793622701,0.8324267951221773,0.8225739889532284
2019-11-29,0.8710790951397013,0.824503313425565,0.8832390374762319,0.8157915797537475,0.8181295630773958,0.8075309714520591
2019-12-31,0.7765554990615671,0.7456274482209244,0.7959575551721547,0.7389223507195425,0.7398634408114725,0.7251741104375959
2020-01-31,0.6779131004388836,0.6512889756923097,0.6871565490580348,0.6456676446758922,0.6462542435475341,0.6310393196421746
2020-02-28,0.6710305384393532,0.6293330722005704,0.6669457909373853,0.6269262478997728,0.6244680682366841,0.6113316696654494
2020-03-31,0.6731553221445576,0.627509317921771,0.6587202024176025,0.6342639848131456,0.6226584123299351,0.6158160958935855
2020-04-30,0.634149412975094,0.5832657849951042,0.6166745445075872,0.5993232246703056,0.5787569001432747,0.573614913886419
2020-05-29,0.69670433289305,0.6484001755749358,0.6788379124213444,0.655885304821498,0.6433877750453935,0.6308893466907453
2020-06-30,0.6526575370595101,0.6134449327581433,0.6378763503281931,0.612880277076098,0.6087027506588317,0.5972499762524612
2020-07-31,0.6673757429966534,0.6223974084406869,0.6424568857691669,0.6178053314609347,0.6175860200154947,0.6043252325159748
