,equal_weight,multifactor_topk,sepa_stock_magician_topk,vcp_topk,fixed_multistrategy_fusion,llm_strategy_agent_mock
2018-07-31,0.989632785092008,0.9861925838866814,0.9900786139154877,0.9735686245155507,0.9861925838866814,0.9754745567098014
2018-08-31,1.0334634043815558,1.0241736378548443,1.0364537413674633,1.0141620452695261,1.0241736378548443,1.0154368585489968
2018-09-28,0.9766171626069591,0.9630979881062885,0.9854812749952724,0.9596659425650879,0.9630979881062885,0.9500198067372004
2018-10-31,0.9495332727401906,0.930318875913903,0.9521873312711905,0.9195859411604372,0.930318875913903,0.9175433084566801
2018-11-30,0.8855815529540548,0.8579977600977926,0.8884455635634682,0.8555274313054977,0.8579977600977926,0.8481286304890632
2018-12-31,0.8558265728830565,0.8269980637074871,0.8508334407102929,0.82756293732391,0.8269980637074871,0.8258893262708694
2019-01-31,0.9296381528530323,0.8806417128328905,0.9280985587755184,0.875288546145836,0.8806417128328905,0.8772498389236455
2019-02-28,0.8976958660103347,0.8342473681481027,0.8898180776800668,0.8287025709404482,0.8342473681481027,0.8300387859822097
2019-03-29,0.9540902673118518,0.8926768467375482,0.9454653576345529,0.8821701203702711,0.8859138298085139,0.8815691082880899
2019-04-30,0.9075997307754962,0.8612073310822281,0.8970028378516589,0.8326129056375479,0.8545498435537361,0.8482784188858303
2019-05-31,0.8917396702494647,0.8350926703768888,0.8829221158711242,0.8127354657317559,0.828637059936157,0.8218876993855486
2019-06-28,0.9068629257134175,0.8472449923146246,0.8889827467667484,0.8243400386009835,0.8406954394179674,0.8327382600539811
2019-07-31,0.9521145461643654,0.8965886357874977,0.9434435166236347,0.8729712612191945,0.8896576361948189,0.8805769359976685
2019-08-30,0.9328929065396404,0.8789106617994578,0.9330724711573761,0.8589445027492488,0.8721163202298898,0.8624834984094983
2019-09-30,0.9059302166621014,0.8487666155391843,0.9172989863325902,0.8353653333461121,0.8422052998680186,0.8379654780122047
2019-10-31,0.8999458177765136,0.8389119300136213,0.909555948294321,0.8322796793622689,0.832426795122177,0.822573988953228
2019-11-29,0.8710790951397018,0.8245033134255648,0.8832390374762309,0.8157915797537459,0.8181295630773957,0.8075309714520587
2019-12-31,0.7765554990615678,0.7456274482209242,0.7959575551721537,0.7389223507195409,0.7398634408114723,0.7251741104375956
2020-01-31,0.6779131004388844,0.6512889756923097,0.687156549058034,0.6456676446758908,0.6462542435475341,0.6310393196421745
2020-02-28,0.6710305384393539,0.6293330722005704,0.6669457909373847,0.6269262478997712,0.6244680682366841,0.6113316696654497
2020-03-31,0.6731553221445581,0.627509317921771,0.6587202024176021,0.6342639848131438,0.622658412329935,0.6158160958935861
2020-04-30,0.6341494129750944,0.5832657849951045,0.616674544507587,0.599323224670304,0.578756900143275,0.5736149138864197
2020-05-29,0.6967043328930503,0.648400175574936,0.678837912421344,0.6558853048214961,0.6433877750453936,0.630889346690746
2020-06-30,0.6526575370595106,0.6134449327581437,0.6378763503281928,0.6128802770760963,0.608702750658832,0.5972499762524621
2020-07-31,0.6673757429966538,0.6223974084406874,0.6424568857691667,0.6178053314609329,0.6175860200154949,0.6043252325159756
2020-08-31,0.6742034950758868,0.6243033932442195,0.6563714678226671,0.6177654115113864,0.6194772707711375,0.6072835763741946
2020-09-30,0.6417206482582365,0.5932938441516474,0.6359934880398799,0.581593489758025,0.5887074382704905,0.5731984936752014
2020-10-30,0.6785923022200505,0.6184864323902544,0.6619942116640412,0.6062102994826631,0.6137052774214437,0.5970500440252687
2020-11-30,0.6148990591337784,0.5644553142773353,0.6061254040304944,0.5478014019825019,0.560091842114981,0.5437170332071525
